mean_vec,tau_vec,tauHajek_vec,beta_hat_vec,widthClassic_vec,widthEst_vec,theta_0_vec_first,theta_0_vec_second,theta_1_vec_first,theta_1_vec_second,widthDrift_vec,widthOracle_vec,widthOnestep_vec,widthConservative_vec,widthOracle_jack_vec,widthOnestep_jack_vec,widthClassic_jack_vec,widthEst_jack_vec,beta_coverage_vec
0.522,2.1912995829487207,2.1891591824565,0.0,0.29607365285126497,0.29607365285126497,-0.007808521356223476,-1.633505670722905,2.0005190839200777,1.5306844860596995,1.643044428583904,1.4343762029680875,1.5283381474887177,1.3060647758932107,1.139266199058799,1.2153681997275827,0.23392924267124765,0.23392924267124765,0.0
0.602,2.8991277090037832,2.902382326370579,0.967999999999998,0.29607365285126497,1.6451825647863154,-0.08792446671262814,-1.6165630031819564,1.9642948304136523,2.4162809958457725,1.643044428583904,1.4343762029680875,1.5283381474887177,1.676501405357847,1.4623788688544757,1.5600886715959343,0.30025483711925954,1.6783373445762955,0.0
0.628,3.158612865987434,3.156694553612263,0.9941599999999811,0.29607365285126497,3.8504516431468825,-0.0032857087197877832,-2.148964857622981,1.997634204931255,2.216354504516958,1.643044428583904,1.4343762029680875,1.5283381474887177,1.8029270065533671,1.572655429066924,1.6777365785931884,0.32289413178607895,4.22494490431261,0.0
0.48,1.8612674920143057,1.8656966370985992,0.0,0.29607365285126497,0.29607365285126497,-0.005070621681340521,-0.6713425555479107,2.000542517933751,2.220361762319132,1.643044428583904,1.4343762029680875,1.5283381474887177,1.1505093695877218,1.0035925299941182,1.070606808500877,0.2060916807429282,0.2060916807429282,0.0
0.628,3.1559526889263987,3.162087251998917,0.9941599999999811,0.29607365285126497,3.8504516431468825,0.1326807226183122,-2.8147692067999404,1.961649470948886,2.376389717446968,1.643044428583904,1.4343762029680875,1.5283381474887177,2.1566484585050754,1.8811901869399157,2.006901283851601,0.3862297909123194,5.0538477201345,0.0
0.346,0.9575384313552092,0.9432152650441424,0.9999999999999545,0.29607365285126497,1.465328433412946,0.10764495520383122,-1.3459565208115665,1.8259589125662972,1.103373404740477,1.643044428583904,1.4343762029680875,1.5283381474887177,1.0148437725287587,0.8852457380934508,0.9443659243366125,0.1817816460227764,0.9050678892994027,0.0
0.482,1.8715239957619694,1.876596561905688,0.0,0.29607365285126497,0.29607365285126497,-0.005351929275895977,-2.1314079000091786,2.0076690218881716,0.6936340350546786,1.643044428583904,1.4343762029680875,1.5283381474887177,1.1979399865917353,1.0449637743403817,1.1147447475211534,0.21458395676018152,0.21458395676018152,0.0
0.534,2.283566979093968,2.2807381446239665,0.5700000000000001,0.29607365285126497,0.44991664345576954,-0.0020440785193466095,-1.4216271467646253,1.99981064120922,1.4540966115870866,1.643044428583904,1.4343762029680875,1.5283381474887177,1.1864910563225597,1.0349845193492488,1.1040869330339829,0.21254487256600296,0.32406967575194506,0.0
0.52,2.1681251961775043,2.167520533869939,0.0,0.29607365285126497,0.29607365285126497,0.0034616074178151265,-2.4143462935403566,1.9974771441382893,2.3841825239104475,1.643044428583904,1.4343762029680875,1.5283381474887177,1.987147882864916,1.7333458768241972,1.849166464834807,0.35588466702166743,0.35588466702166743,0.0
0.52,2.1557646050036436,2.1626778537683413,0.0,0.29607365285126497,0.29607365285126497,0.0033602779681034933,-1.6301027933613486,2.009481187182726,1.6379324739448302,1.643044428583904,1.4343762029680875,1.5283381474887177,1.354160085057182,1.181213714697566,1.2601265173426826,0.24253515617540508,0.24253515617540508,0.0
0.474,1.7945132921011886,1.792792286462529,0.26,0.29607365285126497,0.34362580094086437,0.0029729929804572113,-1.539251053289528,2.0089002815155848,1.9854892275088862,1.643044428583904,1.4343762029680875,1.5283381474887177,1.4568902548812268,1.2708215896102777,1.3557241613950257,0.2609312571476455,0.3033173270837256,0.0
